branch	branch_url	first_commit	last_commit	days_idle	tip_author	author_in_sourcegraph_org	ahead_of_main	behind_main	pr_number	pr_url	pr_opened	pr_author	pr_author_in_sourcegraph_org	pr_status	assessment	change_summary	still_valid
hackathon-autocomplete	https://github.com/sourcegraph/docs/tree/hackathon-autocomplete	2024-11-05	2024-11-05	674	MaedahBatool	no	2	880	770	https://github.com/sourcegraph/docs/pull/770	2024-11-05	adocomplete	no	closed unmerged 2025-01-14	DELETE: PR closed without merge; author left org	no substantive change (formatting only)	N/A: tooling/test/formatting/link fixes, no product claims
hackathon-chat	https://github.com/sourcegraph/docs/tree/hackathon-chat	2024-11-05	2024-11-05	674	MaedahBatool	no	2	880	769	https://github.com/sourcegraph/docs/pull/769	2024-11-05	adocomplete	no	closed unmerged 2025-02-10	DELETE: PR closed without merge; author left org	no substantive change (formatting only)	N/A: tooling/test/formatting/link fixes, no product claims
hackathon-cody-visual-studio	https://github.com/sourcegraph/docs/tree/hackathon-cody-visual-studio	2024-11-05	2024-11-26	653	MaedahBatool	no	4	836	765	https://github.com/sourcegraph/docs/pull/765	2024-11-05	adocomplete	no	closed unmerged 2025-01-14	DELETE: PR closed without merge; author left org	no substantive change (formatting only)	N/A: tooling/test/formatting/link fixes, no product claims
hackathon-core-concepts	https://github.com/sourcegraph/docs/tree/hackathon-core-concepts	2024-11-05	2024-11-05	674	MaedahBatool	no	2	879	778	https://github.com/sourcegraph/docs/pull/778	2024-11-05	adocomplete	no	closed unmerged 2025-02-10	DELETE: PR closed without merge; author left org	no substantive change (formatting only)	N/A: tooling/test/formatting/link fixes, no product claims
hackathon-debug	https://github.com/sourcegraph/docs/tree/hackathon-debug	2024-11-05	2024-11-05	674	MaedahBatool	no	2	879	773	https://github.com/sourcegraph/docs/pull/773	2024-11-05	adocomplete	no	closed unmerged 2025-01-14	DELETE: PR closed without merge; author left org	no substantive change (formatting only)	N/A: tooling/test/formatting/link fixes, no product claims
hackathon-prompts	https://github.com/sourcegraph/docs/tree/hackathon-prompts	2024-11-05	2024-11-12	667	morgangauth	no	3	880	771	https://github.com/sourcegraph/docs/pull/771	2024-11-05	adocomplete	no	closed unmerged 2024-11-26	DELETE: PR closed without merge; author left org	Changes Cody Prompts documentation to say Prompts and the Prompt Library are available in Sourcegraph 5.6.0 and later, replacing the statement that they are available in VS Code and the Sourcegraph web UI.	ALREADY DOCUMENTED: Prompts/Prompt Library availability on main (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
hawkse/fix-legacy-current-version-manifest	https://github.com/sourcegraph/docs/tree/hawkse/fix-legacy-current-version-manifest	2026-08-31	2026-09-01	10	HawkSE	yes	3	36	1849	https://github.com/sourcegraph/docs/pull/1849	2026-08-31	HawkSE	yes	closed unmerged 2026-09-04	DELETE: PR closed without merge	Changes version-selector tooling so legacy documentation sites show the current latest version, their selected archived version, and older versions while omitting intervening releases. It documents that legacy selectors load the canonical manifest from `https://sourcegraph.com/docs/api/versions` and fall back to their bundled list.	ALREADY DOCUMENTED: src/app/api/versions route exists on main (https://sourcegraph.sourcegraph.com/deepsearch/90890366-ec4b-497d-8afc-2876cd37041b)
hello-world-readme-f9e3d1	https://github.com/sourcegraph/docs/tree/hello-world-readme-f9e3d1	2026-06-03	2026-06-03	100	vovakulikov	yes	1	106	1778	https://github.com/sourcegraph/docs/pull/1778	2026-06-03	vovakulikov	yes	closed unmerged 2026-06-11	DELETE: PR closed without merge	Adds a “Hello, World!” section with the greeting repeated twice to the contributor README; no product documentation changes.	N/A: tooling/test/formatting/link fixes, no product claims
imp-search-results	https://github.com/sourcegraph/docs/tree/imp-search-results	2025-03-27	2025-04-02	526	MaedahBatool	no	3	644	1048	https://github.com/sourcegraph/docs/pull/1048	2025-03-27	MaedahBatool	no	closed unmerged 2025-04-02	DELETE: PR closed without merge; author left org	Adds Code Search documentation saying Enterprise personalized search ranking boosts results from repositories the user recently contributed to, works best for large codebases, and is enabled by default. It says users can disable it with `experimentalFeatures.boostRelevantRepositories: false`; the large lockfile-only diff is ignored.	ALREADY DOCUMENTED: boostRelevantRepositories in features.mdx and settings.mdx (https://sourcegraph.sourcegraph.com/deepsearch/0223cab2-d3a8-48a3-b728-693f8ded4396)
internal-link-checker	https://github.com/sourcegraph/docs/tree/internal-link-checker	2026-01-26	2026-01-26	228	eugenio-sanchez-sg	yes	1	231	1562	https://github.com/sourcegraph/docs/pull/1562	2026-01-26	eugenio-sanchez-sg	yes	draft review=REVIEW_REQUIRED merge=DIRTY checks=SUCCESS	WIP: draft PR	Changes site tooling only: adds a daily/manual GitHub Actions job and Node script that scan MD/MDX routes for broken or case-mismatched internal links and report results through a Slack webhook, plus a package script for local execution.	N/A: tooling/test/formatting/link fixes, no product claims
jb-release-apr	https://github.com/sourcegraph/docs/tree/jb-release-apr	2024-04-02	2024-04-02	891	MaedahBatool	no	1	1306	223	https://github.com/sourcegraph/docs/pull/223	2024-04-02	MaedahBatool	no	closed unmerged 2024-04-05	DELETE: PR closed without merge; author left org	Updates Cody model documentation to say Claude 3 Sonnet is the Free-tier default for Chat and Commands, while Pro users can select supported models; Enterprise support for Claude 3 models is marked “coming soon.” It also says JetBrains Chat History can be exported as JSON.	OUTDATED: Free/Pro tiers gone; JetBrains release notes superseded (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
jd/hackathon-o1-troubleshooting	https://github.com/sourcegraph/docs/tree/jd/hackathon-o1-troubleshooting	2024-11-05	2024-11-12	668	jdorfman	yes	11	879	796	https://github.com/sourcegraph/docs/pull/796	2024-11-12	jdorfman	yes	closed unmerged 2024-11-12	DELETE: PR closed without merge	Expands Cody troubleshooting with Cloudflare 403, Pro-account, regular-expression formatting, and OpenAI o1 guidance. It claims o1-mini/o1-preview have 45k input and 4k output token limits, recommends inputs under 200 lines for deadline errors, and says Pro/Enterprise usage is unlimited under Fair Usage while a 429 usually indicates a Free quota or request-rate limit.	OUTDATED: o1 model dropped from catalog; troubleshooting content stale (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
jd/remove-es-callout	https://github.com/sourcegraph/docs/tree/jd/remove-es-callout	2025-10-03	2025-10-03	343	jdorfman	yes	1	397	1372	https://github.com/sourcegraph/docs/pull/1372	2025-10-03	jdorfman	yes	closed unmerged 2025-10-03	DELETE: PR closed without merge	Changes the Deep Search availability callout to say it is available only to Enterprise customers, removing Enterprise Starter; it continues to say BYOK is unsupported.	OUTDATED: docs say Deep Search is Starter + Enterprise; callout removal no longer applies (https://sourcegraph.sourcegraph.com/deepsearch/7d61aa33-2fff-4c62-a9fe-0abb9929a4ea)
jdp/hackathon/versionsuptodate	https://github.com/sourcegraph/docs/tree/jdp/hackathon/versionsuptodate	2024-09-24	2024-09-24	716	jdpleiness	no	1	962						no PR	DELETE?: no PR, idle >180d; author left org	Adds an MDX `CurrentVersion` component hard-coded to 5.7.2474 and uses it in Docker Compose installation instructions instead of 5.6.2535, intending to centralize the current release value.	OUTDATED: main uses the {CURRENT_VERSION} placeholder, not a hard-coded CurrentVersion component (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
jh/test	https://github.com/sourcegraph/docs/tree/jh/test	2024-03-19	2024-03-19	906	jhchabran	no	1	1385	170	https://github.com/sourcegraph/docs/pull/170	2024-03-19	sourcegraph-buildkite	bot	closed unmerged 2024-03-19	DELETE: PR closed without merge; author left org	no substantive change (formatting only)	N/A: tooling/test/formatting/link fixes, no product claims
jhh/deepsearch-guide-troubleshooting	https://github.com/sourcegraph/docs/tree/jhh/deepsearch-guide-troubleshooting	2026-03-12	2026-03-12	183	jasonhawkharris	yes	2	167	1683	https://github.com/sourcegraph/docs/pull/1683	2026-03-12	jasonhawkharris	yes	closed unmerged 2026-03-16	DELETE: PR closed without merge	Adds a Deep Search guide covering models, web/sidebar/Slack/API clients, Grafana monitoring, settings, APIs, sources versus citations, and troubleshooting, and links it in navigation. It says Deep Search processing stays inside the instance except configured-LLM calls, models are Sourcegraph-managed through Cody Gateway, BYOK is unsupported, the supported external API is Connect-RPC at `/api/deepsearch.v1.Service/` with `externalapi` token scopes, and Enterprise Starter or Enterprise plans can use it.	ALREADY DOCUMENTED (https://sourcegraph.sourcegraph.com/deepsearch/7d61aa33-2fff-4c62-a9fe-0abb9929a4ea)
jlxu/fix-deep-search-dead-links-and-nav	https://github.com/sourcegraph/docs/tree/jlxu/fix-deep-search-dead-links-and-nav	2026-03-02	2026-03-02	192	julialeex	yes	1	180	1664	https://github.com/sourcegraph/docs/pull/1664	2026-03-02	julialeex	yes	closed unmerged 2026-03-02	DELETE: PR closed without merge	Changes site navigation only by adding the existing Deep Search API page under the Deep Search section.	PARTIALLY VALID: docs/deep-search/api.mdx exists but is missing from the sidebar; dead-link fixes already on main (https://sourcegraph.sourcegraph.com/deepsearch/7d61aa33-2fff-4c62-a9fe-0abb9929a4ea)
julialeex/add-supported-models	https://github.com/sourcegraph/docs/tree/julialeex/add-supported-models	2025-11-26	2025-11-26	288	julialeex	yes	1	329						no PR	DELETE?: no PR, idle >180d	Updates Cody’s supported-model table to add GPT-5.1, Claude Opus 5, and Gemini 3 Pro as supported vision-capable models, and changes Claude 3.7 Sonnet’s vision support from yes to no. It also leaves truncated prose placeholders in the Claude reasoning-model section.	OUTDATED: supported-models.mdx on main is the source of truth; listed models dropped (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
k/document-code-monitor-result-truncation	https://github.com/sourcegraph/docs/tree/k/document-code-monitor-result-truncation	2026-07-16	2026-07-16	57	keegancsmith	yes	1	69	1817	https://github.com/sourcegraph/docs/pull/1817	2026-07-16	keegancsmith	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR	Documents Code Monitoring webhook fields `resultCount` and `resultsTruncated`, explaining that `results` is only an ordered prefix when payload storage limits truncate details and that `resultCount` is the complete match count.	NOT FOUND: code monitor webhook payload has no resultCount/resultsTruncated fields (https://sourcegraph.sourcegraph.com/deepsearch/44d74fd9-7e50-41dd-996b-3190bd2828fe)
k/max-concurrency-docs	https://github.com/sourcegraph/docs/tree/k/max-concurrency-docs	2026-02-02	2026-02-02	221	keegancsmith	yes	1	221	1580	https://github.com/sourcegraph/docs/pull/1580	2026-02-02	keegancsmith	yes	draft review=APPROVED merge=BEHIND checks=SUCCESS	STALE WIP: draft PR idle >90d	Documents the Batch Changes batch-spec `maxConcurrency` field for limiting concurrent server-side workspace executions. It says the effective limit is the lower of this field and the instance-wide limit, and that the field does not affect local `src batch preview` or `src batch apply` runs.	NOT FOUND: no maxConcurrency in the batch spec schema (https://sourcegraph.sourcegraph.com/deepsearch/44d74fd9-7e50-41dd-996b-3190bd2828fe)
k/restrict-merge-to-admins-docs	https://github.com/sourcegraph/docs/tree/k/restrict-merge-to-admins-docs	2026-02-26	2026-02-26	197	keegancsmith	yes	2	189	1581	https://github.com/sourcegraph/docs/pull/1581	2026-02-03	keegancsmith	yes	open review=APPROVED merge=DIRTY checks=SUCCESS	STALE: open PR idle >90d, ping author or close	Documents the `batchChanges.restrictMergeToAdmins` site setting: when true, only site admins may use Batch Changes “Merge changesets” or “Enable auto-merge” actions, particularly when the GitHub App has elevated repository access.	ALREADY DOCUMENTED in site-config.mdx (https://sourcegraph.sourcegraph.com/deepsearch/44d74fd9-7e50-41dd-996b-3190bd2828fe)
kubernetes-page-fixup	https://github.com/sourcegraph/docs/tree/kubernetes-page-fixup	2026-01-27	2026-01-27	227	bobheadxi	yes	1	231	1565	https://github.com/sourcegraph/docs/pull/1565	2026-01-27	bobheadxi	yes	closed unmerged 2026-01-27	DELETE: PR closed without merge	Removes unused current-version imports from the self-hosted Kubernetes/Helm page, likely fixing page rendering or compilation; the remaining changes are list formatting only.	OUTDATED: current-version imports it removes no longer exist on main (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
language-associations-md	https://github.com/sourcegraph/docs/tree/language-associations-md		2024-01-08	976	bobheadxi	yes	0	1629	27	https://github.com/sourcegraph/docs/pull/27	2024-01-08	bobheadxi	yes	merged 2024-01-09	DELETE: no commits beyond main	no diff: branch tip is already in main	N/A: no diff, branch tip is already in main
lb-docs	https://github.com/sourcegraph/docs/tree/lb-docs	2024-10-16	2024-10-16	694	MaedahBatool	no	1	919	717	https://github.com/sourcegraph/docs/pull/717	2024-10-16	MaedahBatool	no	closed unmerged 2024-11-01	DELETE: PR closed without merge; author left org	Adds site tooling for BaseAI/Langbase: a CLI dependency and script, server-side API-key example, logging configuration, and an auto-synced memory that indexes Markdown/MDX under docs; it does not change documentation content.	N/A: tooling/test/formatting/link fixes, no product claims
lsj/llm-config-providers	https://github.com/sourcegraph/docs/tree/lsj/llm-config-providers	2024-09-20	2024-09-20	721		unknown (no GitHub login on commit)	1	956						no PR	DELETE?: no PR, idle >180d	Updates Cody model-configuration docs with the accepted provider IDs and their mappings to server-side provider types, including Cody Gateway, OpenAI-compatible, Bedrock, Azure OpenAI, Anthropic, Fireworks, Google/Gemini, and OpenAI; Hugging Face TGI has a provider type but no provider ID.	ALREADY DOCUMENTED (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
marc/Clarify-Postgres-upgrade-requirements-for-Helm	https://github.com/sourcegraph/docs/tree/marc/Clarify-Postgres-upgrade-requirements-for-Helm	2026-02-20	2026-02-20	202	marcleblanc2	yes	6	201	1629	https://github.com/sourcegraph/docs/pull/1629	2026-02-20	marcleblanc2	yes	draft review=APPROVED merge=DIRTY checks=SUCCESS	WIP: draft PR	Rewrites the upgrade section of docs/self-hosted/deploy/kubernetes/index.mdx: says Sourcegraph v6 raised the minimum Postgres from 12 to 16, that v7 removed the in-pod Postgres upgrade scripts, and gives the required order (upgrade the 3 Postgres pods on a v6 chart or move to external Postgres >=16 before deploying a v7 chart); replaces the old 'Helm does not support MVU from <=5.9.45 to 6.x' warning.	MOSTLY ALREADY DOCUMENTED: v7 entrypoint-script removal is in postgres.mdx; the 5.10.3940 Helm threshold is not attested in source (kubernetes changelog cites v5.9.45). Approved but DIRTY, rebase and drop the unattested threshold (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
marc/build/lint-warnings-and-caniuse	https://github.com/sourcegraph/docs/tree/marc/build/lint-warnings-and-caniuse	2026-09-11	2026-09-11	0	marcleblanc2	yes	4	4	1943	https://github.com/sourcegraph/docs/pull/1943	2026-09-11	marcleblanc2	yes	open review=REVIEW_REQUIRED merge=DIRTY checks=SUCCESS	ACTIVE: open PR	Site tooling only: fixes Next.js/ESLint build warnings (img alt, hooks deps) in ContentTabs, Logo, LinkCards, ProductCards and the OG image route, bumps caniuse-lite/Browserslist, and notes the build commands in AGENTS.md/README.md.	N/A: tooling/test/formatting/link fixes, no product claims
marc/check-links/upstream-generated-files	https://github.com/sourcegraph/docs/tree/marc/check-links/upstream-generated-files	2026-09-11	2026-09-11	0	marcleblanc2	yes	1	8	1944	https://github.com/sourcegraph/docs/pull/1944	2026-09-11	marcleblanc2	yes	open review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	ACTIVE: open PR	Site tooling only: dev/check-links.mjs stops failing the sourcegraph-buildkite generated-docs sync PR over absolute self-links inside generated reference pages it cannot edit.	N/A: tooling/test/formatting/link fixes, no product claims
marc/check-redirects	https://github.com/sourcegraph/docs/tree/marc/check-redirects	2026-09-11	2026-09-11	0	marcleblanc2	yes	3	4	1935	https://github.com/sourcegraph/docs/pull/1935	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	WIP: draft PR	Site tooling only: adds dev/check-redirects.mjs and a check-redirects GitHub workflow that fails PRs which move or delete a page without adding a redirect in src/data/redirects.ts.	N/A: tooling/test/formatting/link fixes, no product claims
marc/ci/vercel-build-failure-report	https://github.com/sourcegraph/docs/tree/marc/ci/vercel-build-failure-report	2026-09-11	2026-09-11	0	marcleblanc2	yes	4	1	1946	https://github.com/sourcegraph/docs/pull/1946	2026-09-11	marcleblanc2	yes	open review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	ACTIVE: open PR	Site tooling only: adds dev/report-vercel-build.mjs and a vercel-build-report workflow that comments the Vercel build log on PRs whose deploy fails.	N/A: tooling/test/formatting/link fixes, no product claims
marc/docs/check-example-hostnames	https://github.com/sourcegraph/docs/tree/marc/docs/check-example-hostnames	2026-09-08	2026-09-08	3	marcleblanc2	yes	7	30	1933	https://github.com/sourcegraph/docs/pull/1933	2026-09-11	marcleblanc2	yes	draft merge=UNSTABLE checks=FAILURE	WIP: draft PR	Site tooling plus content: adds dev/check-hostnames.mjs and a check-hostnames workflow that rejects placeholder hostnames outside *.example.com, on top of the 40-file hostname normalization from marc/docs/normalize-example-hostnames.	N/A: tooling/test/formatting/link fixes, no product claims
marc/docs/normalize-example-hostnames	https://github.com/sourcegraph/docs/tree/marc/docs/normalize-example-hostnames	2026-09-08	2026-09-08	3	marcleblanc2	yes	3	30	1932	https://github.com/sourcegraph/docs/pull/1932	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	WIP: draft PR	Content only, no product claims: replaces ad-hoc placeholder hostnames (sourcegraph.example.com variants, mycompany.com, etc.) with *.example.com in 40 admin/code-host/auth pages.	N/A: tooling/test/formatting/link fixes, no product claims
marc/fix-dead-section-links	https://github.com/sourcegraph/docs/tree/marc/fix-dead-section-links	2026-09-07	2026-09-07	3	marcleblanc2	yes	1	30	1925	https://github.com/sourcegraph/docs/pull/1925	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	WIP: draft PR	Content only, no product claims: fixes 28 links to headings that no longer exist across 23 admin, batch-changes and code-navigation pages.	N/A: tooling/test/formatting/link fixes, no product claims
marc/fix-moved-page-links	https://github.com/sourcegraph/docs/tree/marc/fix-moved-page-links	2026-09-07	2026-09-07	3	marcleblanc2	yes	1	30	1926	https://github.com/sourcegraph/docs/pull/1926	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	WIP: draft PR	Content only, no product claims: fixes 50 links to pages that moved, across 38 auth/code-host/admin pages.	N/A: tooling/test/formatting/link fixes, no product claims
marc/fix-reworded-anchors-admin	https://github.com/sourcegraph/docs/tree/marc/fix-reworded-anchors-admin	2026-09-07	2026-09-07	3	marcleblanc2	yes	2	30	1927	https://github.com/sourcegraph/docs/pull/1927	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	WIP: draft PR	Content only, no product claims: fixes 20 heading anchors that were reworded in 12 admin pages.	N/A: tooling/test/formatting/link fixes, no product claims
marc/fix-reworded-anchors-cody-batch-insights	https://github.com/sourcegraph/docs/tree/marc/fix-reworded-anchors-cody-batch-insights	2026-09-07	2026-09-07	3	marcleblanc2	yes	2	30	1930	https://github.com/sourcegraph/docs/pull/1930	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	WIP: draft PR	Content only, no product claims: fixes 19 heading anchors in Batch Changes and Code Insights pages.	N/A: tooling/test/formatting/link fixes, no product claims
marc/fix-reworded-anchors-misc	https://github.com/sourcegraph/docs/tree/marc/fix-reworded-anchors-misc	2026-09-07	2026-09-07	3	marcleblanc2	yes	1	30	1931	https://github.com/sourcegraph/docs/pull/1931	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	WIP: draft PR	Content only, no product claims: fixes 13 heading anchors in analytics, cloud, getting-started, integration and technical-changelog pages.	N/A: tooling/test/formatting/link fixes, no product claims
marc/fix-reworded-anchors-search-nav	https://github.com/sourcegraph/docs/tree/marc/fix-reworded-anchors-search-nav	2026-09-07	2026-09-07	3	marcleblanc2	yes	1	30	1929	https://github.com/sourcegraph/docs/pull/1929	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	WIP: draft PR	Content only, no product claims: fixes 27 heading anchors in code-navigation and code-search pages.	N/A: tooling/test/formatting/link fixes, no product claims
marc/fix-reworded-anchors-self-hosted	https://github.com/sourcegraph/docs/tree/marc/fix-reworded-anchors-self-hosted	2026-09-07	2026-09-07	3	marcleblanc2	yes	1	30	1928	https://github.com/sourcegraph/docs/pull/1928	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	WIP: draft PR	Content only, no product claims: fixes 40 heading anchors in self-hosted deploy (docker-compose, kubernetes, kustomize) pages.	N/A: tooling/test/formatting/link fixes, no product claims
marc/fragment-redirects	https://github.com/sourcegraph/docs/tree/marc/fragment-redirects	2026-09-08	2026-09-08	3	marcleblanc2	yes	1	30	1934	https://github.com/sourcegraph/docs/pull/1934	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	WIP: draft PR	Site tooling only: adds a FragmentRedirect client component so redirects in src/data/redirects.ts that target a #heading are applied in the browser (middleware cannot see fragments).	N/A: tooling/test/formatting/link fixes, no product claims
marc/page-views-report	https://github.com/sourcegraph/docs/tree/marc/page-views-report	2026-09-09	2026-09-11	0	marcleblanc2	yes	16	28	1938	https://github.com/sourcegraph/docs/pull/1938	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=DIRTY checks=FAILURE	WIP: draft PR	Site tooling only: adds reports/traffic/page-views-report.mjs (Cloudflare GraphQL traffic export) plus five generated Markdown reports (by count, path, errors, redirects, redirect rules) and a README.	N/A: tooling/test/formatting/link fixes, no product claims
marc/redirect-probe	https://github.com/sourcegraph/docs/tree/marc/redirect-probe	2026-09-09	2026-09-10	1	marcleblanc2	yes	22	28	1939	https://github.com/sourcegraph/docs/pull/1939	2026-09-11	marcleblanc2	yes	draft merge=DIRTY checks=FAILURE	WIP: draft PR	Site tooling only (stacked on marc/page-views-report, pre-move layout): adds viewership-metrics/probe-redirects.mjs that requests every redirect rule against the live site and records the result, plus its 60k-line probe output.	N/A: tooling/test/formatting/link fixes, no product claims
marc/remove-stale-version-notes	https://github.com/sourcegraph/docs/tree/marc/remove-stale-version-notes	2026-09-08	2026-09-08	3	marcleblanc2	yes	1	30	1936	https://github.com/sourcegraph/docs/pull/1936	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	WIP: draft PR	Removes ~500 lines of version-gated notes (<Callout> / "In Sourcegraph 3.x/4.x/5.x ..." / "as of 5.1") for Sourcegraph < 6.0 from 56 admin, code-host, batch-changes and deploy pages, asserting those behaviors are now unconditional in supported releases.	VALID: support policy is current major + N-1 (7.x/6.x); sub-6.0 version notes still present on main (auth.mdx, syncing.mdx, incoming.mdx, language.mdx, requirements.mdx). Rebase and finish (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
marc/remove-technical-changelog	https://github.com/sourcegraph/docs/tree/marc/remove-technical-changelog	2026-09-09	2026-09-09	2	marcleblanc2	yes	1	28	1937	https://github.com/sourcegraph/docs/pull/1937	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=DIRTY checks=FAILURE	WIP: draft PR	Deletes the 10k-line docs/technical-changelog.mdx (duplicate of the per-release changelog) and replaces it with a TechnicalChangelogRedirect component plus redirects that send each release anchor to its release-notes page; adds ReleasesTable.	N/A: tooling/test/formatting/link fixes, no product claims
marc/reports/branch-audit	https://github.com/sourcegraph/docs/tree/marc/reports/branch-audit	2026-09-11	2026-09-11	0	marcleblanc2	yes	2	1	1950	https://github.com/sourcegraph/docs/pull/1950	2026-09-11	marcleblanc2	yes	open review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	ACTIVE: open PR	Site tooling only: adds reports/branches/branch-audit.mjs (GitHub GraphQL via gh) and the branches-and-prs.tsv report it generates, plus an npm script.	N/A: tooling/test/formatting/link fixes, no product claims
marc/rewrite-external-db-page	https://github.com/sourcegraph/docs/tree/marc/rewrite-external-db-page	2025-11-22	2025-11-22	293	marcleblanc2	yes	1	340	1924	https://github.com/sourcegraph/docs/pull/1924	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=DIRTY checks=FAILURE	WIP: draft PR	Rewrites docs/admin/external_services/postgres.mdx (293 lines to 127): states minimum Postgres 16 as of Sourcegraph 6.0, documents PG*/CODEINTEL_PG*/CODEINSIGHTS_PG* env vars, PGSSLMODE, EC2 role credentials via PG_CONNECTION_UPDATER, SUPERUSER requirement for first-migration extensions (with restricted-permission workaround incl. `CREATE extension intarray`), and PgBouncer's statement_cache_mode=describe; drops the long per-deployment walkthroughs. 293 days old.	ALREADY DOCUMENTED: page moved to docs/self-hosted/external-services/postgres.mdx and covers every claim; branch conflicts (DIRTY). Rebase onto the moved page as a trim, or close (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
marc/site/redirects-in-next-config	https://github.com/sourcegraph/docs/tree/marc/site/redirects-in-next-config	2026-09-11	2026-09-11	0	marcleblanc2	yes	1	8	1942	https://github.com/sourcegraph/docs/pull/1942	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=DIRTY checks=FAILURE	WIP: draft PR	Site tooling only: moves the static redirect table from src/middleware.ts into next.config.js redirects(), leaving middleware for dynamic cases, and teaches dev/check-links.mjs the new location.	N/A: tooling/test/formatting/link fixes, no product claims
marc/site/static-md-routes-and-fluid	https://github.com/sourcegraph/docs/tree/marc/site/static-md-routes-and-fluid	2026-09-11	2026-09-11	0	marcleblanc2	yes	2	8	1945	https://github.com/sourcegraph/docs/pull/1945	2026-09-11	marcleblanc2	yes	open merge=DIRTY checks=FAILURE	ACTIVE: open PR	Site tooling only: prerenders the /api/md/[...slug] markdown route at build time (dynamic = 'force-static') and enables Vercel Fluid compute in vercel.json.	N/A: tooling/test/formatting/link fixes, no product claims
marc/spellcheck-fix-line-and-patch-comments	https://github.com/sourcegraph/docs/tree/marc/spellcheck-fix-line-and-patch-comments	2026-09-11	2026-09-11	0	marcleblanc2	yes	1	1	1947	https://github.com/sourcegraph/docs/pull/1947	2026-09-11	marcleblanc2	yes	open review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	ACTIVE: open PR	Site tooling only: dev/post-spelling-review.mjs updates existing inline spell-check comments when the flagged line text changes instead of leaving stale comments.	N/A: tooling/test/formatting/link fixes, no product claims
marc/test-check-links-breaks-link	https://github.com/sourcegraph/docs/tree/marc/test-check-links-breaks-link	2026-09-10	2026-09-10	1	marcleblanc2	yes	23	24	1940	https://github.com/sourcegraph/docs/pull/1940	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=DIRTY checks=FAILURE	WIP: draft PR	Test PR (do not merge): combines the check-links tooling changes and deliberately adds absolute self-links and a dead external link to docs/code-search/features.mdx to exercise the CI comment.	N/A: tooling/test/formatting/link fixes, no product claims
marc/test-pr-checks-broken-2	https://github.com/sourcegraph/docs/tree/marc/test-pr-checks-broken-2	2026-09-11	2026-09-11	0	marcleblanc2	yes	12	1	1948	https://github.com/sourcegraph/docs/pull/1948	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	WIP: draft PR	Test PR (do not merge): bundles the check-links, check-redirects, vercel-build-report and spell-check tooling branches and deliberately breaks links/redirects/spelling to exercise every PR check.	N/A: tooling/test/formatting/link fixes, no product claims
